name,link,prize,contestants,forum,replies,best_replies,best_urls,scripts,votes,best_voted
Expedia Hotel Recommendations,https://www.kaggle.com/c/expedia-hotel-recommendations,25000,1988,208,1134,"[49, 48, 38, 36, 35]","[""/zfturbo/expedia-hotel-recommendations/leakage-solution/discussion"", ""/c/expedia-hotel-recommendations/forums/t/20345/data-leak"", ""/c/expedia-hotel-recommendations/forums/t/20156/welcome"", ""/c/expedia-hotel-recommendations/forums/t/20684/a-tutorial-to-get-you-started"", ""/c/expedia-hotel-recommendations/forums/t/20251/how-are-you-handling-large-data-sets""]",2408,153,"[21, 16, 75, 13, 4, 24]"
Liberty Mutual Group: Property Inspection Prediction,https://www.kaggle.com/c/liberty-mutual-group-property-inspection-prediction,25000,2236,178,1232,"[74, 43, 38, 37, 36]","[""/c/liberty-mutual-group-property-inspection-prediction/forums/t/15737/people-who-don-t-post-to-public-leader-board-very-much"", ""/c/liberty-mutual-group-property-inspection-prediction/forums/t/15558/ranked-30th-by-script"", ""/c/liberty-mutual-group-property-inspection-prediction/forums/t/16120/how-to-xgboost-in-python-3-4-3-anaconda-2-2-0-64-bit"", ""/c/liberty-mutual-group-property-inspection-prediction/forums/t/15713/best-single-model-prediction"", ""/nigelcarpenter/liberty-mutual-group-property-inspection-prediction/r-xgboost-with-gini-eval-and-stopping/discussion""]",2033,157,"[32, 21, 49, 17, 25, 13]"
Online Product Sales,https://www.kaggle.com/c/online-sales,22500,363,47,185,"[31, 17, 14, 13, 10]","[""/c/online-sales/forums/t/2135/congrats-to-the-winners"", ""/c/online-sales/forums/t/2072/bad-times-for-anns"", ""/c/online-sales/forums/t/1958/cross-validation-errors"", ""/c/online-sales/forums/t/2114/last-minute-hail-mary-pass"", ""/c/online-sales/forums/t/2057/non-functioning-variables""]",,,""
Observing Dark Worlds,https://www.kaggle.com/c/DarkWorlds,20000,353,107,791,"[121, 54, 45, 39, 33]","[""/c/DarkWorlds/forums/t/2870/lenstool"", ""/c/DarkWorlds/forums/t/3261/possible-data-problem"", ""/c/DarkWorlds/forums/t/3205/randomness-of-this-competition"", ""/c/DarkWorlds/forums/t/2874/clear-definition-of-ellipticity"", ""/c/DarkWorlds/forums/t/3367/solutions""]",,,""
Predict Closed Questions on Stack Overflow,https://www.kaggle.com/c/predict-closed-questions-on-stack-overflow,20000,161,76,260,"[21, 15, 12, 11, 10]","[""/c/predict-closed-questions-on-stack-overflow/forums/t/2987/private-leaderboard-data-release"", ""/c/predict-closed-questions-on-stack-overflow/forums/t/2843/submitting-your-final-models"", ""/c/predict-closed-questions-on-stack-overflow/forums/t/2817/visualization-contest"", ""/c/predict-closed-questions-on-stack-overflow/forums/t/3021/distribution-of-private-leaderboard-different-from-public-leaderboard"", ""/c/predict-closed-questions-on-stack-overflow/forums/t/2779/kind-of-hardware""]",,,""
Job Recommendation Challenge,https://www.kaggle.com/c/job-recommendation,20000,81,26,101,"[26, 19, 14, 11, 10]","[""/c/job-recommendation/forums/t/2353/external-data"", ""/c/job-recommendation/forums/t/2830/post-mortem-what-data-did-you-use"", ""/c/job-recommendation/forums/t/2324/reading-jobs-tsv"", ""/c/job-recommendation/forums/t/2367/inconsistent-unclear-rules"", ""/c/job-recommendation/forums/t/2356/any-sample-of-the-submissions""]",,,""
Predicting a Biological Response,https://www.kaggle.com/c/bioresponse,20000,699,59,374,"[53, 19, 19, 17, 15]","[""/c/bioresponse/forums/t/2041/congrats-to-the-winners"", ""/c/bioresponse/forums/t/1917/big-gap-at-the-top"", ""/c/bioresponse/forums/t/2029/sample-code-for-isotonic-regression-platt-scaling-etc"", ""/c/bioresponse/forums/t/1974/rf-and-boost-tree"", ""/c/bioresponse/forums/t/1889/question-about-the-process-of-ensemble-learning""]",,,""
Santa's Stolen Sleigh,https://www.kaggle.com/c/santas-stolen-sleigh,20000,1127,93,522,"[67, 25, 24, 18, 16]","[""/c/santas-stolen-sleigh/forums/t/18303/public-info-to-get-rank-59"", ""/the1owl/santas-stolen-sleigh/you-ll-shoot-your-eye-out-kid/discussion"", ""/c/santas-stolen-sleigh/forums/t/17920/optimal-number-of-trips"", ""/c/santas-stolen-sleigh/forums/t/17971/total-hack-idea-brainstorm"", ""/rdslater/santas-stolen-sleigh/you-ll-shoot-your-eye-out-kid/discussion""]",770,252,"[70, 54, 49, 31, 31, 17]"
Homesite Quote Conversion,https://www.kaggle.com/c/homesite-quote-conversion,20000,1764,95,674,"[79, 43, 35, 29, 25]","[""/c/homesite-quote-conversion/forums/t/18829/congratulations-to-winners"", ""/c/homesite-quote-conversion/forums/t/18225/two-insights-for-0-96852"", ""/sushize/homesite-quote-conversion/xgb-stop/discussion"", ""/c/homesite-quote-conversion/forums/t/18837/what-is-your-best-single-model-score-and-how-did-you-achieve-it"", ""/c/homesite-quote-conversion/forums/t/17681/the-right-approach""]",1236,128,"[22, 16, 20, 13, 33, 24]"
Helping Santa's Helpers,https://www.kaggle.com/c/helping-santas-helpers,20000,439,98,632,"[58, 41, 29, 26, 22]","[""/c/helping-santas-helpers/forums/t/11043/i-think-we-have-a-winner"", ""/c/helping-santas-helpers/forums/t/11081/10-million-toys"", ""/c/helping-santas-helpers/forums/t/11119/anybody-working-the-problem-in-r"", ""/c/helping-santas-helpers/forums/t/11055/on-the-second-day-of-kaggle"", ""/c/helping-santas-helpers/forums/t/11080/startup-hint""]",,,""
Crowdflower Search Results Relevance,https://www.kaggle.com/c/crowdflower-search-relevance,20000,1326,115,698,"[108, 66, 50, 46, 30]","[""/c/crowdflower-search-relevance/forums/t/14159/beating-the-benchmark-yet-again"", ""/c/crowdflower-search-relevance/forums/t/15082/congrats-to-the-winners"", ""/c/crowdflower-search-relevance/forums/t/14769/external-data-from-amazon"", ""/c/crowdflower-search-relevance/forums/t/14160/hi"", ""/c/crowdflower-search-relevance/forums/t/14780/best-single-model-performance""]",1201,307,"[116, 45, 55, 30, 33, 28]"
Avito Context Ad Clicks,https://www.kaggle.com/c/avito-context-ad-clicks,20000,414,57,250,"[37, 19, 15, 14, 13]","[""/c/avito-context-ad-clicks/forums/t/14516/beating-the-benchmark"", ""/c/avito-context-ad-clicks/forums/t/15606/congratulations"", ""/c/avito-context-ad-clicks/forums/t/15103/is-there-easy-ways-to-merge-different-files-into-one-big-file-for-classification"", ""/c/avito-context-ad-clicks/forums/t/14494/welcome-to-avito-context-click-prediction"", ""/c/avito-context-ad-clicks/forums/t/15347/best-single-model-score""]",390,52,"[17, 10, 4, 8, 8, 5]"
The Big Data Combine Engineered by BattleFin,https://www.kaggle.com/c/battlefin-s-big-data-combine-forecasting-challenge,18500,425,61,411,"[75, 45, 30, 21, 21]","[""/c/battlefin-s-big-data-combine-forecasting-challenge/forums/t/5582/the-hint-thread"", ""/c/battlefin-s-big-data-combine-forecasting-challenge/forums/t/5941/congratulations"", ""/c/battlefin-s-big-data-combine-forecasting-challenge/forums/t/5423/sampling-interval-of-price-movements"", ""/c/battlefin-s-big-data-combine-forecasting-challenge/forums/t/5446/how-to-build-the-leaderboard-submission"", ""/c/battlefin-s-big-data-combine-forecasting-challenge/forums/t/5775/codes-my-submissions-from-my-lecture""]",,,""
Benchmark Bond Trade Price Challenge,https://www.kaggle.com/c/benchmark-bond-trade-price-challenge,17500,264,46,174,"[21, 18, 17, 13, 12]","[""/c/benchmark-bond-trade-price-challenge/forums/t/1833/congratulations"", ""/c/benchmark-bond-trade-price-challenge/forums/t/1315/clarifications-of-received-time-diff-reporting-delay-and-curve-based-price"", ""/c/benchmark-bond-trade-price-challenge/forums/t/1330/modification-of-competition-data-and-format"", ""/c/benchmark-bond-trade-price-challenge/forums/t/1311/column-weight"", ""/c/benchmark-bond-trade-price-challenge/forums/t/1778/substantial-difference-in-held-out-estimates-and-leaderbard-score""]",,,""
Galaxy Zoo - The Galaxy Challenge,https://www.kaggle.com/c/galaxy-zoo-the-galaxy-challenge,16000,326,55,337,"[40, 38, 29, 19, 13]","[""/c/galaxy-zoo-the-galaxy-challenge/forums/t/6794/data-constraints-and-competition-reboot"", ""/c/galaxy-zoo-the-galaxy-challenge/forums/t/7599/so-what-were-your-approaches"", ""/c/galaxy-zoo-the-galaxy-challenge/forums/t/6803/beating-the-benchmark"", ""/c/galaxy-zoo-the-galaxy-challenge/forums/t/6824/how-many-participators-use-deep-learning-instead-of-mixture-of-shallow"", ""/c/galaxy-zoo-the-galaxy-challenge/forums/t/6758/responses-normalizations""]",,,""
